quarter,pair,side,entry_ts,exit_ts,entry_idx,exit_idx,hold_candles,entry_price,exit_price,size_usd,pnl_usd,pnl_pct,regime_entry,regime_exit,exit_cat,exit_reason
q4_2024,ETH/USD,long,2024-10-07 16:00,2024-10-09 08:00,40,50,10,2588.140817697,2763.1325955735,1600.0,102.88494861396413,6.430309288372758,unknown,unknown,SIGNAL,"Above VWAP (+5.97%), P&L: 6.81%"
q4_2024,XRP/USD,long,2024-10-11 12:00,2024-10-12 08:00,63,68,5,0.5306281815,0.5698849149999999,1818.5192907505136,128.4994684079573,7.066159213242374,unknown,unknown,SIGNAL,"Above VWAP (+4.27%), P&L: 7.45%"
q4_2024,LINK/USD,long,2024-10-12 12:00,2024-10-13 00:00,69,72,3,10.9588176705,11.795858120500002,1841.649195063946,134.54476402834544,7.305667354507967,unknown,unknown,TP,Take profit: 7.69% (ATR target: 7.56%)
q4_2024,LINK/USD,short,2024-10-13 04:00,2024-10-15 08:00,73,86,13,11.925330352,11.102477464499998,1969.5265443995506,129.81616739062966,6.591237257490566,unknown,unknown,SIGNAL,"Price at lower BB, cover short. P&L: 6.95%"
q4_2024,NEAR/USD,long,2024-10-07 12:00,2024-10-19 04:00,39,109,70,4.764048834,5.116322559,1800.0,127.12359355579089,7.062421864210605,unknown,bull,SIGNAL,"Price at upper BB, P&L: 7.45%"
q4_2024,LINK/USD,short,2024-10-16 04:00,2024-10-21 00:00,91,120,29,12.4909963775,11.393366836499998,2099.149069688179,178.04097687644636,8.481578533290811,unknown,bull,SIGNAL,"Price at lower BB, cover short. P&L: 8.83%"
q4_2024,XRP/USD,long,2024-10-20 04:00,2024-10-21 04:00,115,121,6,0.5314245795,0.4875590985,1912.1164095594038,-163.70136568831555,-8.56126566719001,bull,bull,STOP,Stop loss: -8.21% (ATR stop: -5.00%)
q4_2024,DOT/USD,long,2024-10-15 20:00,2024-10-27 08:00,89,158,69,4.3021189845,4.683438109500001,1889.2341627193614,161.13599493548128,8.529170079348042,unknown,bull,SIGNAL,"Above VWAP (+7.09%), P&L: 8.92%"
q4_2024,ETH/USD,long,2024-10-13 20:00,2024-10-30 04:00,77,175,98,2600.36881464,2445.3238814225006,1658.5486689680429,-104.04135904284166,-6.273036238820577,unknown,bull,STOP,Stop loss: -5.92% (ATR stop: -5.00%)
q4_2024,ETH/USD,long,2024-10-31 00:00,2024-11-02 08:00,180,194,14,2502.706756014,2633.3047139875002,1924.9745740339422,94.12654207839246,4.889755082901826,bull,bull,SIGNAL,"Above VWAP (+1.17%), P&L: 5.27%"
q4_2024,NEAR/USD,long,2024-11-04 04:00,2024-11-04 20:00,205,209,4,4.808751173999999,5.286392481500001,2049.8016489196116,196.71313479655103,9.596691216451728,bull,bull,SIGNAL,"Price at upper BB, P&L: 9.99%"
q4_2024,SOL/USD,long,2024-11-03 08:00,2024-11-07 08:00,200,224,24,162.70645957349998,176.30642269,1510.380162361819,121.2087312918886,8.02504788611309,bull,bull,TP,Take profit: 8.41% (ATR target: 8.35%)
q4_2024,ETH/USD,long,2024-11-05 08:00,2024-11-07 20:00,212,227,15,2689.7939458604997,2933.3018243955003,1757.622858552384,153.23621978594184,8.718378862695863,bull,bull,SIGNAL,"Above VWAP (+12.16%), P&L: 9.11%"
q4_2024,ETH/USD,long,2024-11-16 20:00,2024-11-21 12:00,281,309,28,3259.145528385,3517.5903859695004,1801.534050724837,136.86219521896336,7.5969807600304655,bull,bull,TP,Take profit: 7.98% (ATR target: 7.40%)
q4_2024,ETH/USD,long,2024-11-24 08:00,2024-12-02 20:00,326,377,51,3550.3409503334997,3772.221169888,1823.4320019598713,107.93591544387169,5.919382534027012,bull,bull,SIGNAL,"Above VWAP (+26.90%), P&L: 6.30%"
q4_2024,SOL/USD,long,2024-12-06 20:00,2024-12-09 08:00,401,416,15,233.971359216,221.395718764,1840.7017484308908,-104.67001588682582,-5.686419104890401,bull,bull,STOP,Stop loss: -5.33% (ATR stop: -5.00%)
q4_2024,SOL/USD,long,2024-12-13 08:00,2024-12-13 20:00,440,443,3,228.901843725,214.4210288535,1595.9602276528735,-105.91182360598503,-6.636244548634278,bull,bull,STOP,Stop loss: -6.28% (ATR stop: -5.00%)
